t,strain*1e21
-3.1489,-0.1403
-3.1487,-0.1396
-3.1484,-0.1389
-3.1482,-0.1380
-3.1480,-0.1370
-3.1477,-0.1358
-3.1475,-0.1346
-3.1472,-0.1332
-3.1470,-0.1316
-3.1467,-0.1300
-3.1465,-0.1282
-3.1462,-0.1263
-3.1460,-0.1243
-3.1458,-0.1222
-3.1455,-0.1199
-3.1453,-0.1176
-3.1450,-0.1151
-3.1448,-0.1125
-3.1445,-0.1099
-3.1443,-0.1071
-3.1440,-0.1042
-3.1438,-0.1012
-3.1436,-0.0981
-3.1433,-0.0949
-3.1431,-0.0917
-3.1428,-0.0883
-3.1426,-0.0849
-3.1423,-0.0814
-3.1421,-0.0778
-3.1418,-0.0741
-3.1416,-0.0704
-3.1414,-0.0666
-3.1411,-0.0627
-3.1409,-0.0588
-3.1406,-0.0548
-3.1404,-0.0508
-3.1401,-0.0467
-3.1399,-0.0426
-3.1397,-0.0384
-3.1394,-0.0342
-3.1392,-0.0300
-3.1389,-0.0257
-3.1387,-0.0214
-3.1384,-0.0171
-3.1382,-0.0128
-3.1379,-0.0084
-3.1377,-0.0041
-3.1375,0.0003
-3.1372,0.0046
-3.1370,0.0089
-3.1367,0.0133
-3.1365,0.0176
-3.1362,0.0219
-3.1360,0.0262
-3.1357,0.0305
-3.1355,0.0347
-3.1353,0.0389
-3.1350,0.0431
-3.1348,0.0472
-3.1345,0.0513
-3.1343,0.0553
-3.1340,0.0593
-3.1338,0.0632
-3.1335,0.0671
-3.1333,0.0709
-3.1331,0.0746
-3.1328,0.0783
-3.1326,0.0819
-3.1323,0.0854
-3.1321,0.0888
-3.1318,0.0922
-3.1316,0.0954
-3.1313,0.0986
-3.1311,0.1017
-3.1309,0.1047
-3.1306,0.1076
-3.1304,0.1104
-3.1301,0.1130
-3.1299,0.1156
-3.1296,0.1181
-3.1294,0.1204
-3.1292,0.1227
-3.1289,0.1248
-3.1287,0.1268
-3.1284,0.1287
-3.1282,0.1304
-3.1279,0.1321
-3.1277,0.1336
-3.1274,0.1350
-3.1272,0.1363
-3.1270,0.1374
-3.1267,0.1384
-3.1265,0.1393
-3.1262,0.1400
-3.1260,0.1406
-3.1257,0.1411
-3.1255,0.1414
-3.1252,0.1416
-3.1250,0.1417
-3.1248,0.1417
-3.1245,0.1415
-3.1243,0.1411
-3.1240,0.1407
-3.1238,0.1401
-3.1235,0.1393
-3.1233,0.1385
-3.1230,0.1375
-3.1228,0.1364
-3.1226,0.1351
-3.1223,0.1337
-3.1221,0.1322
-3.1218,0.1306
-3.1216,0.1289
-3.1213,0.1270
-3.1211,0.1250
-3.1209,0.1229
-3.1206,0.1206
-3.1204,0.1183
-3.1201,0.1158
-3.1199,0.1133
-3.1196,0.1106
-3.1194,0.1078
-3.1191,0.1049
-3.1189,0.1019
-3.1187,0.0989
-3.1184,0.0957
-3.1182,0.0924
-3.1179,0.0891
-3.1177,0.0856
-3.1174,0.0821
-3.1172,0.0785
-3.1169,0.0748
-3.1167,0.0711
-3.1165,0.0673
-3.1162,0.0634
-3.1160,0.0595
-3.1157,0.0555
-3.1155,0.0514
-3.1152,0.0474
-3.1150,0.0432
-3.1147,0.0390
-3.1145,0.0348
-3.1143,0.0306
-3.1140,0.0263
-3.1138,0.0220
-3.1135,0.0177
-3.1133,0.0133
-3.1130,0.0090
-3.1128,0.0046
-3.1126,0.0002
-3.1123,-0.0041
-3.1121,-0.0085
-3.1118,-0.0129
-3.1116,-0.0172
-3.1113,-0.0216
-3.1111,-0.0259
-3.1108,-0.0301
-3.1106,-0.0344
-3.1104,-0.0386
-3.1101,-0.0428
-3.1099,-0.0470
-3.1096,-0.0511
-3.1094,-0.0551
-3.1091,-0.0591
-3.1089,-0.0631
-3.1086,-0.0670
-3.1084,-0.0708
-3.1082,-0.0746
-3.1079,-0.0782
-3.1077,-0.0819
-3.1074,-0.0854
-3.1072,-0.0888
-3.1069,-0.0922
-3.1067,-0.0955
-3.1064,-0.0987
-3.1062,-0.1018
-3.1060,-0.1048
-3.1057,-0.1077
-3.1055,-0.1105
-3.1052,-0.1132
-3.1050,-0.1158
-3.1047,-0.1183
-3.1045,-0.1206
-3.1042,-0.1229
-3.1040,-0.1250
-3.1038,-0.1270
-3.1035,-0.1289
-3.1033,-0.1307
-3.1030,-0.1323
-3.1028,-0.1339
-3.1025,-0.1353
-3.1023,-0.1365
-3.1021,-0.1377
-3.1018,-0.1387
-3.1016,-0.1395
-3.1013,-0.1403
-3.1011,-0.1409
-3.1008,-0.1414
-3.1006,-0.1417
-3.1003,-0.1419
-3.1001,-0.1420
-3.0999,-0.1419
-3.0996,-0.1417
-3.0994,-0.1414
-3.0991,-0.1409
-3.0989,-0.1403
-3.0986,-0.1396
-3.0984,-0.1387
-3.0981,-0.1377
-3.0979,-0.1366
-3.0977,-0.1353
-3.0974,-0.1339
-3.0972,-0.1324
-3.0969,-0.1307
-3.0967,-0.1290
-3.0964,-0.1271
-3.0962,-0.1250
-3.0959,-0.1229
-3.0957,-0.1207
-3.0955,-0.1183
-3.0952,-0.1158
-3.0950,-0.1132
-3.0947,-0.1105
-3.0945,-0.1077
-3.0942,-0.1048
-3.0940,-0.1018
-3.0938,-0.0987
-3.0935,-0.0955
-3.0933,-0.0922
-3.0930,-0.0888
-3.0928,-0.0854
-3.0925,-0.0818
-3.0923,-0.0782
-3.0920,-0.0745
-3.0918,-0.0707
-3.0916,-0.0669
-3.0913,-0.0630
-3.0911,-0.0590
-3.0908,-0.0550
-3.0906,-0.0509
-3.0903,-0.0468
-3.0901,-0.0426
-3.0898,-0.0384
-3.0896,-0.0342
-3.0894,-0.0299
-3.0891,-0.0256
-3.0889,-0.0213
-3.0886,-0.0169
-3.0884,-0.0126
-3.0881,-0.0082
-3.0879,-0.0038
-3.0876,0.0006
-3.0874,0.0050
-3.0872,0.0094
-3.0869,0.0137
-3.0867,0.0181
-3.0864,0.0225
-3.0862,0.0268
-3.0859,0.0311
-3.0857,0.0354
-3.0855,0.0396
-3.0852,0.0438
-3.0850,0.0480
-3.0847,0.0521
-3.0845,0.0561
-3.0842,0.0601
-3.0840,0.0641
-3.0837,0.0680
-3.0835,0.0718
-3.0833,0.0756
-3.0830,0.0793
-3.0828,0.0829
-3.0825,0.0864
-3.0823,0.0899
-3.0820,0.0932
-3.0818,0.0965
-3.0815,0.0997
-3.0813,0.1028
-3.0811,0.1058
-3.0808,0.1087
-3.0806,0.1114
-3.0803,0.1141
-3.0801,0.1167
-3.0798,0.1192
-3.0796,0.1215
-3.0793,0.1237
-3.0791,0.1258
-3.0789,0.1278
-3.0786,0.1297
-3.0784,0.1314
-3.0781,0.1331
-3.0779,0.1346
-3.0776,0.1359
-3.0774,0.1371
-3.0772,0.1382
-3.0769,0.1392
-3.0767,0.1401
-3.0764,0.1408
-3.0762,0.1413
-3.0759,0.1418
-3.0757,0.1421
-3.0754,0.1422
-3.0752,0.1422
-3.0750,0.1421
-3.0747,0.1419
-3.0745,0.1415
-3.0742,0.1410
-3.0740,0.1403
-3.0737,0.1395
-3.0735,0.1386
-3.0732,0.1376
-3.0730,0.1364
-3.0728,0.1351
-3.0725,0.1336
-3.0723,0.1320
-3.0720,0.1303
-3.0718,0.1285
-3.0715,0.1265
-3.0713,0.1245
-3.0710,0.1223
-3.0708,0.1200
-3.0706,0.1176
-3.0703,0.1150
-3.0701,0.1124
-3.0698,0.1096
-3.0696,0.1068
-3.0693,0.1038
-3.0691,0.1007
-3.0688,0.0976
-3.0686,0.0943
-3.0684,0.0910
-3.0681,0.0875
-3.0679,0.0840
-3.0676,0.0804
-3.0674,0.0768
-3.0671,0.0730
-3.0669,0.0692
-3.0667,0.0653
-3.0664,0.0614
-3.0662,0.0573
-3.0659,0.0533
-3.0657,0.0492
-3.0654,0.0450
-3.0652,0.0408
-3.0649,0.0366
-3.0647,0.0323
-3.0645,0.0280
-3.0642,0.0236
-3.0640,0.0193
-3.0637,0.0149
-3.0635,0.0105
-3.0632,0.0061
-3.0630,0.0017
-3.0627,-0.0027
-3.0625,-0.0071
-3.0623,-0.0115
-3.0620,-0.0159
-3.0618,-0.0203
-3.0615,-0.0247
-3.0613,-0.0290
-3.0610,-0.0333
-3.0608,-0.0376
-3.0605,-0.0418
