t,strain*1e21
-8.5706,-0.0491
-8.5704,-0.0489
-8.5701,-0.0486
-8.5699,-0.0483
-8.5696,-0.0479
-8.5694,-0.0475
-8.5691,-0.0471
-8.5689,-0.0466
-8.5687,-0.0461
-8.5684,-0.0455
-8.5682,-0.0449
-8.5679,-0.0442
-8.5677,-0.0435
-8.5674,-0.0428
-8.5672,-0.0420
-8.5670,-0.0412
-8.5667,-0.0403
-8.5665,-0.0394
-8.5662,-0.0385
-8.5660,-0.0375
-8.5657,-0.0365
-8.5655,-0.0355
-8.5652,-0.0344
-8.5650,-0.0333
-8.5648,-0.0321
-8.5645,-0.0310
-8.5643,-0.0298
-8.5640,-0.0285
-8.5638,-0.0273
-8.5635,-0.0260
-8.5633,-0.0247
-8.5630,-0.0234
-8.5628,-0.0220
-8.5626,-0.0207
-8.5623,-0.0193
-8.5621,-0.0179
-8.5618,-0.0164
-8.5616,-0.0150
-8.5613,-0.0135
-8.5611,-0.0121
-8.5608,-0.0106
-8.5606,-0.0091
-8.5604,-0.0076
-8.5601,-0.0061
-8.5599,-0.0046
-8.5596,-0.0031
-8.5594,-0.0016
-8.5591,-0.0001
-8.5589,0.0015
-8.5587,0.0030
-8.5584,0.0045
-8.5582,0.0060
-8.5579,0.0075
-8.5577,0.0090
-8.5574,0.0105
-8.5572,0.0120
-8.5569,0.0135
-8.5567,0.0149
-8.5565,0.0163
-8.5562,0.0178
-8.5560,0.0192
-8.5557,0.0206
-8.5555,0.0219
-8.5552,0.0233
-8.5550,0.0246
-8.5547,0.0259
-8.5545,0.0272
-8.5543,0.0285
-8.5540,0.0297
-8.5538,0.0309
-8.5535,0.0321
-8.5533,0.0332
-8.5530,0.0343
-8.5528,0.0354
-8.5525,0.0365
-8.5523,0.0375
-8.5521,0.0384
-8.5518,0.0394
-8.5516,0.0403
-8.5513,0.0412
-8.5511,0.0420
-8.5508,0.0428
-8.5506,0.0435
-8.5504,0.0442
-8.5501,0.0449
-8.5499,0.0455
-8.5496,0.0461
-8.5494,0.0466
-8.5491,0.0471
-8.5489,0.0475
-8.5486,0.0480
-8.5484,0.0483
-8.5482,0.0486
-8.5479,0.0489
-8.5477,0.0491
-8.5474,0.0493
-8.5472,0.0494
-8.5469,0.0495
-8.5467,0.0495
-8.5464,0.0495
-8.5462,0.0494
-8.5460,0.0493
-8.5457,0.0492
-8.5455,0.0490
-8.5452,0.0487
-8.5450,0.0484
-8.5447,0.0481
-8.5445,0.0477
-8.5442,0.0473
-8.5440,0.0468
-8.5438,0.0463
-8.5435,0.0457
-8.5433,0.0451
-8.5430,0.0445
-8.5428,0.0438
-8.5425,0.0431
-8.5423,0.0423
-8.5420,0.0415
-8.5418,0.0406
-8.5416,0.0397
-8.5413,0.0388
-8.5411,0.0379
-8.5408,0.0369
-8.5406,0.0358
-8.5403,0.0348
-8.5401,0.0337
-8.5399,0.0325
-8.5396,0.0314
-8.5394,0.0302
-8.5391,0.0290
-8.5389,0.0277
-8.5386,0.0264
-8.5384,0.0251
-8.5381,0.0238
-8.5379,0.0225
-8.5377,0.0211
-8.5374,0.0197
-8.5372,0.0183
-8.5369,0.0169
-8.5367,0.0155
-8.5364,0.0140
-8.5362,0.0125
-8.5359,0.0111
-8.5357,0.0096
-8.5355,0.0081
-8.5352,0.0066
-8.5350,0.0051
-8.5347,0.0035
-8.5345,0.0020
-8.5342,0.0005
-8.5340,-0.0010
-8.5337,-0.0025
-8.5335,-0.0041
-8.5333,-0.0056
-8.5330,-0.0071
-8.5328,-0.0086
-8.5325,-0.0101
-8.5323,-0.0116
-8.5320,-0.0130
-8.5318,-0.0145
-8.5316,-0.0160
-8.5313,-0.0174
-8.5311,-0.0188
-8.5308,-0.0202
-8.5306,-0.0216
-8.5303,-0.0229
-8.5301,-0.0243
-8.5298,-0.0256
-8.5296,-0.0269
-8.5294,-0.0282
-8.5291,-0.0294
-8.5289,-0.0306
-8.5286,-0.0318
-8.5284,-0.0329
-8.5281,-0.0341
-8.5279,-0.0352
-8.5276,-0.0362
-8.5274,-0.0372
-8.5272,-0.0382
-8.5269,-0.0392
-8.5267,-0.0401
-8.5264,-0.0410
-8.5262,-0.0418
-8.5259,-0.0426
-8.5257,-0.0434
-8.5254,-0.0441
-8.5252,-0.0447
-8.5250,-0.0454
-8.5247,-0.0460
-8.5245,-0.0465
-8.5242,-0.0470
-8.5240,-0.0475
-8.5237,-0.0479
-8.5235,-0.0483
-8.5233,-0.0486
-8.5230,-0.0489
-8.5228,-0.0491
-8.5225,-0.0493
-8.5223,-0.0494
-8.5220,-0.0495
-8.5218,-0.0495
-8.5215,-0.0495
-8.5213,-0.0495
-8.5211,-0.0494
-8.5208,-0.0493
-8.5206,-0.0491
-8.5203,-0.0488
-8.5201,-0.0485
-8.5198,-0.0482
-8.5196,-0.0478
-8.5193,-0.0474
-8.5191,-0.0470
-8.5189,-0.0465
-8.5186,-0.0459
-8.5184,-0.0453
-8.5181,-0.0447
-8.5179,-0.0440
-8.5176,-0.0433
-8.5174,-0.0425
-8.5171,-0.0417
-8.5169,-0.0409
-8.5167,-0.0400
-8.5164,-0.0391
-8.5162,-0.0381
-8.5159,-0.0371
-8.5157,-0.0361
-8.5154,-0.0350
-8.5152,-0.0339
-8.5149,-0.0328
-8.5147,-0.0316
-8.5145,-0.0305
-8.5142,-0.0292
-8.5140,-0.0280
-8.5137,-0.0267
-8.5135,-0.0254
-8.5132,-0.0241
-8.5130,-0.0228
-8.5128,-0.0214
-8.5125,-0.0200
-8.5123,-0.0186
-8.5120,-0.0172
-8.5118,-0.0158
-8.5115,-0.0143
-8.5113,-0.0128
-8.5110,-0.0114
-8.5108,-0.0099
-8.5106,-0.0084
-8.5103,-0.0069
-8.5101,-0.0054
-8.5098,-0.0038
-8.5096,-0.0023
-8.5093,-0.0008
-8.5091,0.0007
-8.5088,0.0023
-8.5086,0.0038
-8.5084,0.0053
-8.5081,0.0068
-8.5079,0.0083
-8.5076,0.0098
-8.5074,0.0113
-8.5071,0.0128
-8.5069,0.0143
-8.5066,0.0157
-8.5064,0.0171
-8.5062,0.0186
-8.5059,0.0200
-8.5057,0.0214
-8.5054,0.0227
-8.5052,0.0241
-8.5049,0.0254
-8.5047,0.0267
-8.5045,0.0280
-8.5042,0.0292
-8.5040,0.0304
-8.5037,0.0316
-8.5035,0.0328
-8.5032,0.0339
-8.5030,0.0350
-8.5027,0.0361
-8.5025,0.0371
-8.5023,0.0381
-8.5020,0.0390
-8.5018,0.0400
-8.5015,0.0409
-8.5013,0.0417
-8.5010,0.0425
-8.5008,0.0433
-8.5005,0.0440
-8.5003,0.0447
-8.5001,0.0453
-8.4998,0.0459
-8.4996,0.0465
-8.4993,0.0470
-8.4991,0.0474
-8.4988,0.0479
-8.4986,0.0482
-8.4983,0.0486
-8.4981,0.0489
-8.4979,0.0491
-8.4976,0.0493
-8.4974,0.0494
-8.4971,0.0495
-8.4969,0.0496
-8.4966,0.0496
-8.4964,0.0495
