t,strain*1e21
-0.9997,-0.0493
-0.9995,-0.0485
-0.9992,-0.0473
-0.9990,-0.0457
-0.9988,-0.0437
-0.9985,-0.0413
-0.9983,-0.0386
-0.9980,-0.0356
-0.9978,-0.0322
-0.9975,-0.0286
-0.9973,-0.0247
-0.9970,-0.0207
-0.9968,-0.0164
-0.9966,-0.0120
-0.9963,-0.0075
-0.9961,-0.0030
-0.9958,0.0016
-0.9956,0.0062
-0.9953,0.0107
-0.9951,0.0151
-0.9949,0.0194
-0.9946,0.0236
-0.9944,0.0275
-0.9941,0.0312
-0.9939,0.0347
-0.9936,0.0378
-0.9934,0.0406
-0.9931,0.0431
-0.9929,0.0452
-0.9927,0.0470
-0.9924,0.0483
-0.9922,0.0492
-0.9919,0.0497
-0.9917,0.0498
-0.9914,0.0494
-0.9912,0.0487
-0.9909,0.0475
-0.9907,0.0459
-0.9905,0.0439
-0.9902,0.0416
-0.9900,0.0389
-0.9897,0.0358
-0.9895,0.0325
-0.9892,0.0288
-0.9890,0.0250
-0.9887,0.0209
-0.9885,0.0166
-0.9883,0.0122
-0.9880,0.0077
-0.9878,0.0031
-0.9875,-0.0015
-0.9873,-0.0061
-0.9870,-0.0106
-0.9868,-0.0151
-0.9866,-0.0194
-0.9863,-0.0236
-0.9861,-0.0275
-0.9858,-0.0313
-0.9856,-0.0347
-0.9853,-0.0379
-0.9851,-0.0407
-0.9848,-0.0432
-0.9846,-0.0453
-0.9844,-0.0471
-0.9841,-0.0484
-0.9839,-0.0493
-0.9836,-0.0498
-0.9834,-0.0499
-0.9831,-0.0495
-0.9829,-0.0487
-0.9826,-0.0475
-0.9824,-0.0459
-0.9822,-0.0439
-0.9819,-0.0415
-0.9817,-0.0388
-0.9814,-0.0357
-0.9812,-0.0324
-0.9809,-0.0287
-0.9807,-0.0248
-0.9804,-0.0207
-0.9802,-0.0164
-0.9800,-0.0119
-0.9797,-0.0074
-0.9795,-0.0028
-0.9792,0.0018
-0.9790,0.0064
-0.9787,0.0110
-0.9785,0.0155
-0.9783,0.0198
-0.9780,0.0240
-0.9778,0.0279
-0.9775,0.0317
-0.9773,0.0351
-0.9770,0.0383
-0.9768,0.0411
