t,strain*1e21
-5.1789,-0.0827
-5.1786,-0.0824
-5.1784,-0.0819
-5.1782,-0.0814
-5.1779,-0.0808
-5.1777,-0.0801
-5.1774,-0.0794
-5.1772,-0.0786
-5.1769,-0.0777
-5.1767,-0.0767
-5.1764,-0.0756
-5.1762,-0.0745
-5.1760,-0.0734
-5.1757,-0.0721
-5.1755,-0.0708
-5.1752,-0.0694
-5.1750,-0.0679
-5.1747,-0.0664
-5.1745,-0.0648
-5.1742,-0.0632
-5.1740,-0.0615
-5.1738,-0.0597
-5.1735,-0.0579
-5.1733,-0.0561
-5.1730,-0.0541
-5.1728,-0.0522
-5.1725,-0.0501
-5.1723,-0.0481
-5.1720,-0.0460
-5.1718,-0.0438
-5.1716,-0.0416
-5.1713,-0.0394
-5.1711,-0.0371
-5.1708,-0.0348
-5.1706,-0.0324
-5.1703,-0.0301
-5.1701,-0.0277
-5.1698,-0.0252
-5.1696,-0.0228
-5.1694,-0.0203
-5.1691,-0.0178
-5.1689,-0.0153
-5.1686,-0.0128
-5.1684,-0.0102
-5.1681,-0.0077
-5.1679,-0.0051
-5.1677,-0.0026
-5.1674,-0.0000
-5.1672,0.0026
-5.1669,0.0051
-5.1667,0.0077
-5.1664,0.0102
-5.1662,0.0128
-5.1659,0.0153
-5.1657,0.0178
-5.1655,0.0203
-5.1652,0.0228
-5.1650,0.0252
-5.1647,0.0276
-5.1645,0.0301
-5.1642,0.0324
-5.1640,0.0348
-5.1637,0.0371
-5.1635,0.0394
-5.1633,0.0416
-5.1630,0.0438
-5.1628,0.0460
-5.1625,0.0481
-5.1623,0.0502
-5.1620,0.0522
-5.1618,0.0542
-5.1615,0.0561
-5.1613,0.0580
-5.1611,0.0598
-5.1608,0.0615
-5.1606,0.0633
-5.1603,0.0649
-5.1601,0.0665
-5.1598,0.0680
-5.1596,0.0695
-5.1594,0.0708
-5.1591,0.0722
-5.1589,0.0734
-5.1586,0.0746
-5.1584,0.0757
-5.1581,0.0768
-5.1579,0.0777
-5.1576,0.0786
-5.1574,0.0795
-5.1572,0.0802
-5.1569,0.0809
-5.1567,0.0815
-5.1564,0.0820
-5.1562,0.0825
-5.1559,0.0828
-5.1557,0.0831
-5.1554,0.0833
-5.1552,0.0834
-5.1550,0.0835
-5.1547,0.0835
-5.1545,0.0834
-5.1542,0.0832
-5.1540,0.0829
-5.1537,0.0826
-5.1535,0.0821
-5.1532,0.0817
-5.1530,0.0811
-5.1528,0.0804
-5.1525,0.0797
-5.1523,0.0789
-5.1520,0.0780
-5.1518,0.0771
-5.1515,0.0760
-5.1513,0.0749
-5.1511,0.0738
-5.1508,0.0725
-5.1506,0.0712
-5.1503,0.0699
-5.1501,0.0684
-5.1498,0.0669
-5.1496,0.0654
-5.1493,0.0637
-5.1491,0.0620
-5.1489,0.0603
-5.1486,0.0585
-5.1484,0.0566
-5.1481,0.0547
-5.1479,0.0528
-5.1476,0.0507
-5.1474,0.0487
-5.1471,0.0466
-5.1469,0.0444
-5.1467,0.0422
-5.1464,0.0400
-5.1462,0.0377
-5.1459,0.0354
-5.1457,0.0331
-5.1454,0.0307
-5.1452,0.0283
-5.1449,0.0258
-5.1447,0.0234
-5.1445,0.0209
-5.1442,0.0184
-5.1440,0.0159
-5.1437,0.0134
-5.1435,0.0108
-5.1432,0.0083
-5.1430,0.0057
-5.1427,0.0032
-5.1425,0.0006
-5.1423,-0.0020
-5.1420,-0.0045
-5.1418,-0.0071
-5.1415,-0.0097
-5.1413,-0.0122
-5.1410,-0.0148
-5.1408,-0.0173
-5.1406,-0.0198
-5.1403,-0.0223
-5.1401,-0.0247
-5.1398,-0.0272
-5.1396,-0.0296
-5.1393,-0.0320
-5.1391,-0.0343
