tstart,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,na,nb
40.62,520.0,435.5,458.0,623.4,609.2,493.3,455.8,464.7,383.1,346.9,346.9,353.7
41.64,573.0,464.9,457.0,587.8,643.5,522.8,534.4,541.3,402.7,390.1,361.7,371.4
42.66,600.5,487.4,458.9,639.1,600.3,477.6,464.7,505.0,386.1,358.6,382.3,346.8
43.69,547.4,430.6,500.2,637.1,539.4,471.7,481.3,489.3,384.0,377.2,365.6,324.2
44.71,589.7,479.6,461.9,729.5,654.5,554.2,549.1,500.1,416.4,383.2,326.4,325.3
45.74,521.9,458.0,455.9,653.6,571.8,508.0,491.1,485.4,382.1,356.7,373.4,335.9
46.76,571.1,491.6,431.5,665.7,620.9,522.9,516.6,504.0,394.9,320.4,387.2,346.9
47.78,578.0,486.5,445.3,652.8,614.0,435.4,492.0,471.6,389.0,356.7,350.0,360.6
48.81,489.4,412.9,461.9,540.6,500.0,469.7,436.2,398.9,382.2,345.9,371.5,332.2
49.83,450.1,407.1,428.5,449.3,434.2,454.0,385.1,413.6,343.9,374.4,377.3,343.9
50.86,437.3,418.7,422.6,492.5,415.6,439.2,390.0,405.9,352.6,340.0,354.8,352.7
51.88,452.1,406.9,426.5,430.6,428.4,378.3,359.6,394.0,334.0,381.2,349.8,340.0
52.90,403.0,468.8,416.7,476.8,453.9,460.9,352.7,411.6,367.4,364.5,383.3,348.8
53.93,441.3,410.0,400.1,453.1,442.0,412.8,382.2,395.0,349.8,364.5,350.9,339.9
54.95,432.4,430.5,418.7,514.1,459.7,460.8,403.7,421.5,336.0,349.8,376.4,361.6
55.98,539.5,491.4,447.2,624.2,558.0,526.6,477.4,488.2,440.0,359.6,378.4,319.4
57.00,568.0,405.9,457.0,610.5,574.7,519.9,462.5,507.9,388.9,366.5,343.1,347.8
58.02,538.6,469.8,472.7,648.8,578.7,495.3,514.6,517.8,399.7,348.9,364.7,331.2
59.05,503.2,460.9,484.5,566.1,544.3,511.0,418.5,431.3,375.3,353.7,357.8,357.6
60.07,444.3,413.8,405.9,446.2,433.2,425.5,374.3,411.8,357.5,388.1,384.3,342.9
61.10,489.5,429.6,415.7,494.4,475.5,437.3,389.0,384.2,337.0,352.8,322.5,326.3
62.12,552.3,430.5,466.8,593.8,507.9,539.4,466.6,461.8,391.9,343.0,358.7,353.6
63.14,513.0,427.7,496.2,635.3,542.4,476.7,496.1,515.7,419.3,348.8,358.7,312.5
64.17,456.1,413.9,401.1,490.6,454.8,418.8,405.7,404.8,362.4,389.0,355.8,326.2
65.19,441.4,415.8,404.0,520.0,464.6,426.5,401.8,403.9,352.6,380.3,391.1,318.3
66.22,410.8,401.0,424.5,468.9,417.6,424.5,370.4,361.7,353.6,341.0,367.6,320.4
67.24,464.9,442.4,432.4,473.7,435.2,434.3,424.3,400.0,357.6,392.0,350.9,321.3
68.26,508.2,438.4,458.9,541.7,489.2,449.0,437.1,429.4,377.2,374.3,357.8,395.0
69.29,474.6,423.7,415.7,444.4,420.4,444.1,358.7,368.5,341.9,346.9,372.5,303.7
70.31,440.2,355.9,361.8,436.4,422.3,409.8,367.5,359.7,345.8,424.4,375.4,347.8
71.34,461.9,390.3,391.2,409.0,415.6,414.8,391.0,397.0,337.9,374.4,377.4,352.7
72.36,441.2,430.6,425.5,447.2,382.2,420.7,352.7,374.4,322.3,375.3,366.6,351.8
73.38,426.6,402.1,460.9,421.7,393.9,355.8,338.0,393.0,346.7,367.5,354.8,330.2
74.41,400.9,427.6,403.0,427.5,396.9,380.4,371.4,388.2,325.2,371.4,359.7,322.3
75.43,433.4,438.3,398.1,392.2,391.0,386.2,370.3,388.1,329.1,381.2,332.3,327.2
76.46,436.3,419.7,426.5,408.8,391.1,403.9,352.7,377.4,372.2,388.1,398.0,347.8
77.48,411.9,426.7,411.9,427.5,377.2,418.6,345.9,382.2,321.3,356.6,365.6,307.6
78.50,459.9,423.7,394.2,400.1,383.2,409.8,365.4,353.8,344.9,344.9,365.6,320.3
79.53,398.1,362.8,423.6,392.2,403.8,431.3,354.6,349.9,345.8,362.6,361.7,322.3
80.55,407.8,386.3,416.6,418.7,363.6,405.9,331.2,367.5,335.9,381.2,372.4,335.1
81.58,426.6,379.5,454.1,410.8,401.7,432.3,359.6,363.6,350.7,378.3,351.0,332.1
82.60,477.6,421.6,436.3,501.2,409.7,468.7,419.4,376.4,387.0,373.4,388.2,316.4
83.62,446.2,447.1,417.6,460.0,453.8,468.7,403.7,421.5,354.6,364.5,352.9,344.9
84.65,449.1,444.3,397.1,509.1,423.4,412.8,426.2,391.1,359.5,318.4,341.1,354.7
85.67,451.0,383.5,446.1,428.6,406.7,424.5,401.8,372.4,350.7,394.9,346.9,307.6
86.70,415.8,428.5,420.8,422.7,396.9,437.2,357.6,426.4,399.8,366.5,342.0,371.3
87.72,446.1,397.2,414.8,415.8,372.4,418.6,343.9,348.9,335.0,376.2,337.2,350.7
88.74,423.6,395.1,399.0,370.5,391.0,415.8,391.9,374.4,355.5,414.5,369.6,336.0
89.77,399.0,422.6,390.2,447.1,355.7,390.1,377.3,362.6,383.0,350.8,347.0,314.5
90.79,446.2,375.6,433.4,391.2,392.0,440.3,374.3,377.3,334.0,337.0,355.8,344.9
91.82,428.5,406.0,424.5,441.2,356.7,410.8,321.3,356.8,349.7,351.8,340.1,314.5
92.84,433.4,385.4,396.1,415.7,394.9,417.8,365.4,360.7,335.0,360.6,355.9,318.4
93.86,422.7,420.7,394.1,392.2,381.2,415.7,352.7,360.7,341.9,366.5,388.2,364.5
94.89,448.3,424.7,342.1,401.1,402.8,434.3,373.4,354.7,325.2,366.5,347.0,319.4
95.91,402.9,425.6,408.8,396.1,367.4,377.4,352.7,315.6,333.0,413.6,354.8,373.3
96.94,438.3,384.3,408.8,423.5,401.8,415.7,393.9,350.8,332.1,309.6,356.8,334.1
97.96,426.5,399.2,414.7,424.6,354.6,403.8,348.8,384.2,309.5,374.3,351.9,345.8
98.98,466.7,398.1,383.3,434.4,402.7,405.0,374.3,362.6,339.0,361.6,325.3,319.4
100.01,425.6,385.4,401.0,403.0,372.3,391.2,353.7,357.7,334.0,395.0,352.9,336.0
101.03,380.4,398.1,376.4,383.3,432.2,411.8,371.4,368.4,312.4,377.3,363.7,333.1
102.06,417.7,403.1,394.2,361.7,364.4,416.7,325.3,380.2,335.0,356.7,382.3,321.3
103.08,445.1,452.2,409.9,371.5,407.6,384.3,340.0,344.0,340.9,350.8,351.9,314.5
104.10,447.2,398.2,385.3,402.1,415.5,404.0,372.3,372.4,347.8,356.7,358.8,301.7
105.13,387.2,386.3,368.6,433.4,365.4,398.0,354.7,374.4,337.0,377.3,370.5,342.9
106.15,427.5,407.0,395.2,346.1,399.8,397.0,378.2,366.6,321.3,384.1,374.4,335.1
107.18,412.9,411.8,405.0,416.7,407.7,391.1,360.5,386.1,313.4,342.0,350.0,340.0
108.20,419.7,384.4,416.7,426.5,408.6,366.6,373.4,360.7,355.6,347.8,361.7,353.7
109.22,406.8,414.8,419.6,417.7,405.8,383.3,349.7,367.5,339.8,357.6,357.7,349.8
110.25,384.3,433.5,395.1,390.2,382.1,412.6,339.0,328.3,291.9,375.3,365.6,332.1
111.27,416.7,415.7,395.2,356.8,406.7,407.8,342.9,358.7,353.7,337.1,410.7,317.4
112.30,353.0,415.8,398.0,386.4,364.5,405.9,362.4,385.1,323.2,378.2,359.8,313.5
113.32,427.5,407.9,386.2,397.1,352.7,411.8,377.2,388.1,314.4,382.2,364.6,367.5
114.34,398.0,419.6,408.9,403.9,406.7,385.2,353.7,383.2,328.1,348.8,359.7,339.0
115.37,386.3,416.8,407.9,414.8,374.3,398.9,377.3,391.0,340.9,345.9,333.2,366.5
116.39,391.2,408.0,372.6,410.8,404.7,397.0,352.7,367.5,331.1,378.3,360.7,348.8
117.42,387.2,392.3,437.3,410.9,392.0,363.7,404.7,334.1,347.7,378.3,342.0,353.6
118.44,377.5,360.8,377.4,399.0,399.8,376.5,317.4,347.9,325.2,351.8,380.3,348.8
119.46,412.7,362.9,392.2,439.3,408.7,420.6,330.2,347.9,343.8,373.4,349.9,337.0
120.49,395.1,386.3,406.9,379.4,396.0,405.9,341.9,341.0,333.0,342.9,366.5,336.0
121.51,382.3,360.8,416.8,368.7,345.9,400.0,370.3,363.6,302.6,329.2,374.4,329.2
122.54,401.0,420.8,392.2,373.6,432.2,394.0,360.5,365.6,322.3,360.6,370.5,342.8
123.56,387.2,382.5,395.1,393.2,378.3,416.7,399.8,351.8,342.9,352.8,371.5,311.5
124.58,409.9,446.2,375.5,447.1,369.4,395.1,342.9,319.5,352.6,383.2,383.4,340.9
125.61,425.5,412.8,403.9,416.8,402.8,436.2,340.9,319.5,345.8,339.0,346.0,319.4
126.63,392.1,411.9,400.0,394.1,373.4,371.5,389.1,404.8,337.0,371.4,329.3,322.3
127.66,425.5,417.7,420.7,367.7,396.9,414.7,394.8,352.8,336.0,359.7,379.3,304.7
128.68,469.7,404.1,426.6,358.8,370.4,389.1,375.3,348.9,365.4,380.2,364.6,354.7
129.70,404.0,375.6,378.4,383.4,365.5,377.4,358.6,388.2,341.9,378.2,327.4,341.9
130.73,399.0,373.6,397.0,403.0,356.6,376.4,358.6,343.0,292.9,349.9,346.0,345.8
131.75,364.6,364.8,384.3,349.0,389.0,396.1,349.7,386.2,297.7,359.7,412.7,359.6
132.78,380.4,396.2,445.2,405.9,386.1,379.3,365.4,362.6,327.1,376.3,387.2,322.3
133.80,419.7,396.1,395.1,388.3,396.8,389.2,356.7,359.7,314.4,381.2,339.1,317.4
134.82,381.3,402.1,388.3,384.3,357.6,412.7,351.8,346.9,342.8,334.1,354.9,332.1
