t,strain*1e+21
0.3772,-0.0101
0.3773,0.1633
0.3774,-0.1067
0.3776,-0.1357
0.3777,-0.1680
0.3778,-0.3406
0.3779,-0.2425
0.3780,-0.2032
0.3782,-0.1469
0.3783,0.0754
0.3784,0.1720
0.3785,0.2743
0.3787,0.1982
0.3788,0.4073
0.3789,0.3053
0.3790,0.2741
0.3791,0.1441
0.3793,-0.0843
0.3794,-0.2637
0.3795,-0.1782
0.3796,-0.2844
0.3797,-0.1862
0.3799,-0.1201
0.3800,0.0046
0.3801,0.1188
0.3802,-0.0193
0.3804,0.2950
0.3805,0.2177
0.3806,0.3143
0.3807,0.0721
0.3808,0.1405
0.3810,0.0152
0.3811,-0.3592
0.3812,-0.1457
0.3813,-0.3418
0.3815,-0.2186
0.3816,-0.3097
0.3817,-0.0043
0.3818,-0.1115
0.3819,-0.0672
0.3821,0.2052
0.3822,0.3292
0.3823,0.3634
0.3824,0.3379
0.3826,0.2575
0.3827,-0.0280
0.3828,-0.1461
0.3829,-0.0627
0.3830,-0.1349
0.3832,-0.3004
0.3833,-0.2849
0.3834,-0.2273
0.3835,-0.1143
0.3837,0.0428
0.3838,0.2018
0.3839,0.3590
0.3840,0.1721
0.3841,0.3689
0.3843,0.0187
0.3844,-0.1309
0.3845,-0.1531
0.3846,-0.3341
0.3848,-0.1508
0.3849,-0.4749
0.3850,-0.2086
0.3851,-0.0739
0.3852,0.0491
0.3854,0.1149
0.3855,0.2848
0.3856,0.2820
0.3857,0.2996
0.3859,0.2225
0.3860,-0.0386
0.3861,-0.1320
0.3862,0.0253
0.3863,-0.1689
0.3865,-0.2966
0.3866,-0.3115
0.3867,-0.1338
0.3868,-0.0751
0.3870,-0.1036
0.3871,0.2496
0.3872,0.3152
0.3873,0.1153
0.3874,0.1142
0.3876,0.1033
0.3877,-0.2242
0.3878,-0.0833
0.3879,-0.2563
0.3881,-0.3433
0.3882,-0.1511
0.3883,-0.1050
0.3884,0.1203
0.3885,0.3299
0.3887,0.2930
0.3888,0.3379
0.3889,0.3913
0.3890,0.0136
0.3891,0.0255
0.3893,-0.1595
0.3894,-0.2326
0.3895,-0.2435
0.3896,-0.1265
0.3898,-0.0290
0.3899,-0.0433
0.3900,0.0867
0.3901,0.5941
0.3902,0.1836
0.3904,0.4046
0.3905,0.1790
0.3906,-0.3073
0.3907,-0.2379
0.3909,-0.3893
0.3910,-0.3577
0.3911,-0.1881
0.3912,0.1274
0.3913,0.0529
0.3915,0.2200
0.3916,0.2091
0.3917,0.5003
0.3918,0.2390
0.3920,-0.0761
0.3921,-0.2177
0.3922,-0.2851
0.3923,-0.3053
0.3924,-0.0276
0.3926,0.0376
0.3927,0.0591
0.3928,0.3740
0.3929,0.3503
0.3931,0.1299
0.3932,0.1887
0.3933,-0.2504
0.3934,-0.2847
0.3935,-0.3419
0.3937,-0.2027
0.3938,-0.1155
0.3939,-0.0360
0.3940,0.3554
0.3942,0.4512
0.3943,0.1395
0.3944,-0.0459
0.3945,-0.2283
0.3946,-0.3971
0.3948,-0.2195
0.3949,0.0281
0.3950,0.0277
0.3951,0.1777
0.3953,0.2131
0.3954,0.3596
0.3955,0.0156
0.3956,-0.0890
0.3957,-0.4237
0.3959,-0.1928
0.3960,-0.3455
0.3961,-0.0481
0.3962,0.2948
0.3964,0.3324
0.3965,0.2638
0.3966,-0.0369
0.3967,-0.3415
0.3968,-0.5000
0.3970,-0.2148
0.3971,0.0448
0.3972,0.5591
0.3973,0.4031
0.3975,0.1607
0.3976,-0.1663
0.3977,-0.3641
0.3978,-0.4904
0.3979,-0.1101
0.3981,0.2760
0.3982,0.4614
0.3983,0.1891
0.3984,-0.3693
0.3985,-0.5885
0.3987,-0.2297
0.3988,0.2118
0.3989,0.5541
0.3990,-0.1991
0.3992,-0.6274
0.3993,-0.3998
0.3994,0.3215
0.3995,0.4723
0.3996,-0.3727
0.3998,-0.3830
0.3999,0.7386
0.4000,-0.8420
0.4001,0.3986
0.4003,0.1120
0.4004,-0.1222
0.4005,0.0947
0.4006,-0.1213
0.4007,-0.0403
0.4009,-0.0443
0.4010,-0.1466
0.4011,0.0308
0.4012,0.0608
0.4014,-0.0136
0.4015,-0.1186
0.4016,0.1337
0.4017,-0.0488
0.4018,0.1054
0.4020,0.0935
0.4021,0.0123
0.4022,-0.0718
0.4023,-0.0314
0.4025,0.0414
0.4026,-0.0890
0.4027,-0.0089
0.4028,-0.0873
0.4029,0.0105
0.4031,0.1473
0.4032,-0.0098
0.4033,-0.0238
0.4034,0.0812
0.4036,-0.1186
0.4037,0.0631
0.4038,0.1117
0.4039,-0.2319
0.4040,0.0814
0.4042,-0.0340
0.4043,-0.0226
0.4044,-0.0602
0.4045,-0.0474
0.4047,-0.2448
0.4048,-0.0916
0.4049,0.0041
0.4050,0.0166
0.4051,-0.0310
0.4053,0.2324
0.4054,0.1014
0.4055,0.0858
0.4056,0.0106
0.4058,0.0854
0.4059,-0.1002
0.4060,-0.1614
0.4061,0.0434
0.4062,-0.1934
